Tweet,Polarity
"RT @dbongino: The media's a disgrace. Senior Obama officials spied on the Trump team, lied about it on cable TV, and it's being treated as…",Positive
"RT @mitchellvii: 11 AM ET: YourVoice America (9/15) ""President Trump Says No To Chain Migration https://t.co/62ZqH6thS3",Positive
RT @ir2pol: A white dude telling a woman he likes boobs while arguing  for a black woman to be fired for her words is peak Trump supporter.…,Negative
RT @MSNBC: Lawrence: The new Trump exhibit in the Mueller investigation: https://t.co/n5m6aHCZ25 https://t.co/SCLkLqSPuC,Positive
"EEUU y España se oponen al referéndum que ha anunciado la región autónoma del Kurdistan.
Trump y el PP son más de bombas que de urnas.",Positive
RT @keithboykin: Trump used a pending lawsuit as excuse to rescind DACA. But faced with a court order on Mar-A-Lago he does nothing. https:…,Negative
"RT @T_S_P_O_O_K_Y: This is stupid -  just cut the programs - then create new ones excluding the sanctuary cites...and be done with them
htt…",Negative
"Juggalo, Pro-Trump And Anti-Trump Groups To Converge In D.C. Saturday https://t.co/Q2TqAPWA8h",Positive
RT @washingtonpost: Sen. McCain joins effort to challenge Trump’s ban on transgender troops https://t.co/BVgbZlLU7n,Positive
@thehill We miss you Bill. That slot isn't the same without you. Seems like the liberal networks are now in busines… https://t.co/3EzMPIrlWs,Positive
"RT @stellsani: Kim Jong Un: Trump you can play with the toy. 

Trump: I like you lets visit your nuclear plant. #AMJoy https://t.co/8mhhRYk…",Positive
RT @AdamsFlaFan: Congress has new bipartisan legislation to protect the Russia investigation from Trump https://t.co/sxjTRbvuft,Positive
RT @WVFDW: CBO: Trump is making Obamacare premiums more expensive - Vox https://t.co/CxQCDcBFAr #ACA,Positive
"President Trump has to follow the constitution! The high court confirmed this, so what makes anyone think he will betray us!",Positive
RT @3lectric5heep: The Angry Left Attacks Trump for Letting 11-Year Old Mow White House Lawn [Video] https://t.co/FizZfNlM9L @3lectric5heep,Negative
